image_id,ASYMMETRY,BORDER,COLOR,
ISIC_0001769,0,0,1,
ISIC_0001852,0,0,1,
ISIC_0001871,0,0,1,
ISIC_0003462,0,0,0,
ISIC_0003539,1,1,2,
ISIC_0003582,2,1,0,
ISIC_0003657,0,0,0,
ISIC_0003805,0,0,2,
ISIC_0004337,0,0,1,
ISIC_0006651,0,0,0,
ISIC_0006671,0,0,0,
ISIC_0006815,0,1,1,
ISIC_0006914,0,2,2,
ISIC_0007141,0,1,1,
ISIC_0007156,0,1,2,
ISIC_0007235,0,0,2,
ISIC_0007241,1,1,1,
ISIC_0007332,0,0,2,
ISIC_0007344,1,2,2,
ISIC_0007528,0,0,0,
ISIC_0007796,1,1,1,
ISIC_0008025,0,1,1,
ISIC_0008524,2,1,1,
ISIC_0009995,2,2,1,
ISIC_0010459,0,1,2,
ISIC_0012099,1,1,2,
ISIC_0012109,1,0,1,
ISIC_0012126,0,1,2,
ISIC_0012127,1,0,2,
ISIC_0012143,1,2,2,
ISIC_0012151,2,1,2,
ISIC_0012159,0,0,0,
ISIC_0012160,1,1,1,
ISIC_0012191,1,2,2,
ISIC_0012201,0,1,1,
ISIC_0012204,0,0,2,
ISIC_0012206,2,2,2,
ISIC_0012210,0,1,1,
ISIC_0012221,0,0,1,
ISIC_0012222,1,1,1,
ISIC_0012254,0,2,2,
ISIC_0012256,2,2,0,
ISIC_0012288,1,1,2,
ISIC_0012306,0,0,1,
ISIC_0012313,1,0,1,
ISIC_0012316,0,1,2,
ISIC_0012335,2,1,1,
ISIC_0012380,0,2,1,
ISIC_0012383,0,1,2,
ISIC_0012400,1,1,2,
